,name,number,lat,lon,id_list,fetched data ?
0,Berlin - Jannowitzbrücke,0,52.5140658632566,13.41775102070807,100024661,1
1,Berlin - Invalidenstraße,1,52.52718,13.37202,100032152,1
2,Berlin - Frankfurter Allee,2,52.51373867977201,13.474367159238705,100032154,1
3,Berlin - Berliner Straße,3,52.56681,13.41217,100032155,1
4,Berlin - Schwedter Steg,4,52.54884,13.40037,100032159,1
5,Berlin - Klosterstraße,5,52.533665,13.198963,100032161,1
6,Berlin - Breitenbachplatz,6,52.46676,13.30916,100032163,1
7,Berlin - Monumentenstraße,7,52.48812,13.36979,100032165,1
8,Berlin - Markstraße,8,52.55819,13.36494,100032169,1
9,Berlin - Maybachufer,9,52.49311815915883,13.429149248667873,100032236,1
10,Berlin - Kaisersteg,10,52.45775788047353,13.519359601285744,100032237,1
11,Berlin - Paul- und Paula-Uferweg,11,52.50025,13.47438,100033035,1
12,Berlin - Alberichstraße,12,52.4925,13.55849,100033037,1
13,Berlin - Yorckstraße,13,52.49199,13.37412,100033038,1
14,Berlin - Prinzregentenstraße,14,52.49058,13.33308,100033039,1
15,Berlin - Oberbaumbrücke,15,52.50177512317563,13.445688884934567,100053586,1
16,Berlin - Mariendorfer Damm,16,52.43852296779607,13.387829068100944,100064714,1
17,Berlin - Straße des 17. Juni,17,52.51293017936524,13.326764702796938,300019043,1
