,name,number,latitude,longitude,id_list,fetched data ?
0,Sommerda,1,51.2873737,11.0605992,100055269,0
1,Stuttgart,1,48.78424,9.147031,100063203,1
2,Stuttgart,2,48.826,9.21488,100063205,0
3,Stuttgart,3,48.716494,9.08652,100061257,0
4,Stuttgart,4,48.739821,9.152228,100061633,1
5,Stuttgart,5,48.740003,9.226692,100061648,1
6,Stuttgart,6,48.8115094776975,9.167497239565906,100062943,1
7,Stuttgart,7,48.809354,9.105381,100062945,1
8,Stuttgart,8,48.779637,9.248607,100063204,1
9,Arnsberg,1,51.440702,7.964296,100063831,0
10,Heilbronn,1,49.1469,9.2106,100064303,0
11,Detmold,1,51.942008319165296,8.851881585958425,100063124,0
12,Böblingen,1,48.71174502862043,9.081563470378336,0,0
13,Heidelberg,2,49.406723,8.69424,100012608,0
14,Lörrach,1,47.6197,7.65932,100008949,0
15,Heilbronn,1,49.139652,9.214609,100011532,0
16,Heidelberg,1,49.40911,8.6766615,100011985,1
17,Kirchheim u. Teck,1,48.64519,9.451567,100013457,0
18,Rostock,1,54.09152282594652,12.149421548069586,100005395,0
19,Düsseldorf,1,51.220154,6.7671213,100016424,1
20,Göttingen,1,51.55311,9.94008,100011600,0
21,Göttingen,2,51.53692,9.92926,100020630,0
22,Nuremberg,1,49.448765,11.082456,100023462,0
23,Rostock,2,54.09034,12.13605,100005394,1
24,Freiburg,1,47.995213,7.8407526,100004164,0
25,Karlsruhe,1,49.0072864,8.4027153,100004165,1
26,Tübingen,1,48.518017,9.048007,100003358,0
27,Erkelenz,1,51.08195,6.3104796,100026875,0
28,Hanover,1,52.3768927,9.7269378,100029988,0
29,Offenbach,1,50.112920247359,8.75178334164736,100030216,0
30,Hanover,2,52.362137,9.739617,100030582,0
31,Hanover,3,52.368595,9.735394,100030786,0
32,Hanover,4,52.36810119,9.72014839,100032318,0
33,Bonn,1,50.7376321974817,7.10662675446168,100019810,1
34,Münster,H,51.9546171953272,7.626305506491104,100032097,0
35,Münster,N,51.966988,7.615511,100032098,0
36,Hamburg,1,53.55924,10.00848,100031011,0
37,Stuttgart,1,48.79912609299229,9.210372161982695,100034882,1
38,Munich,1,48.13047183798265,11.581845842611882,100036669,0
39,Erlangen,1,49.592728628558696,11.005598164766512,100038660,0
40,Ludwigsburg,1,48.89318853889096,9.192943238836945,100041999,0
41,Mülheim,1,51.43037260765898,6.881870965540844,100040200,0
42,Oberhausen,1,51.49103880077647,6.87438683945242,100041767,0
43,Dortmund,1,51.49925,7.42673,100042617,1
44,Göppingen,1,48.7217353201817,9.591439255166645,100045673,0
45,Aschaffenburg,1,49.97315,9.15079,100046798,1
46,Konstanz,1,47.66936,9.17467,100046462,0
47,Region Hanover,4,52.317,9.721,100044791,0
48,Region Hanover,3,52.35101,9.94185,100044790,0
49,Region Hanover,2,52.49343,9.86781,100044789,0
50,Region Hanover,1,52.3785,9.63008,100044788,0
51,Lörrach,2,47.61852887926996,7.672214845402785,100038858,0
52,Erftstadt,1,50.801988,6.82744,100043879,0
53,Osnabrück,1,52.27996540308624,8.0550560783977,100050631,0
54,Darmstadt,1,49.84743,8.64602,100050420,1
55,Litzendorf,1,49.915281,11.002216,100053263,0
