,city,latitude,longitude
0,Sommerda,51.1618258,11.1174874
1,Stuttgart,48.7784485,9.1800132
2,Arnsberg,51.4002384,8.0605908
3,Heilbronn,49.142291,9.218655
4,Detmold,51.936284,8.8791526
5,Böblingen,48.684969,9.0113444
6,Heidelberg,49.4093582,8.694724
7,Lörrach,47.6120896,7.6607218
8,Kirchheim u. Teck,48.6480545,9.4510227
9,Rostock,54.0924445,12.1286127
10,Düsseldorf,51.2254018,6.7763137
11,Göttingen,51.5328328,9.9351811
12,Nuremberg,49.453872,11.077298
13,Freiburg,47.9960901,7.8494005
14,Karlsruhe,49.0068705,8.4034195
15,Tübingen,48.5236164,9.0535531
16,Erkelenz,51.080992,6.3160684
17,Hanover,52.3744779,9.7385532
18,Offenbach,50.1055002,8.7610698
19,Bonn,50.735851,7.10066
20,Münster,51.9625101,7.6251879
21,Hamburg,53.550341,10.000654
22,Munich,48.1371079,11.5753822
23,Erlangen,49.5978157,11.0038064
24,Ludwigsburg,48.8953937,9.1895147
25,Mülheim,51.4272925,6.8829192
26,Oberhausen,51.4696137,6.8514435
27,Dortmund,51.5142273,7.4652789
28,Göppingen,48.7031377,9.6541116
29,Aschaffenburg,49.9740542,9.1493636
30,Konstanz,47.659216,9.1750718
31,Erftstadt,50.789981999999995,6.781549221222182
32,Osnabrück,52.2719595,8.047635
33,Darmstadt,49.872775,8.651177
34,Litzendorf,49.9123064,11.0096505
